Process Name,PID,CPU Percent,Memory Percent
com.apple.WebKit.Networking,743,0.0,0.03981590270996094
com.apple.Safari.SandboxBroker,744,0.0,0.022459030151367188
com.apple.WebKit.GPU,745,0.0,0.002288818359375
com.apple.WebKit.WebContent,746,0.0,0.057315826416015625
com.apple.WebKit.WebContent,748,0.0,0.1930713653564453
com.apple.WebKit.Networking,750,0.0,0.05726814270019531
com.apple.Safari.SafeBrowsing.Service,751,0.0,0.3952980041503906
searchpartyuseragent,756,0.0,0.038623809814453125
studentd,763,0.0,0.06537437438964844
misagent,766,0.0,0.00286102294921875
mongod,773,0.0,0.05955696105957031
heard,774,0.0,0.054645538330078125
corespeechd,775,0.0,0.03261566162109375
Siri,782,0.0,0.04277229309082031
icdd,783,0.0,0.023746490478515625
watchman,787,0.0,0.00400543212890625
askpermissiond,788,0.0,0.01983642578125
Adobe Genuine Software Monitor Service,790,0.0,0.029468536376953125
diagnostics_agent,794,0.0,0.04677772521972656
bluetoothuserd,795,0.0,0.008869171142578125
TextInputMenuAgent,796,0.0,0.04367828369140625
ctkahp,798,0.0,0.010156631469726562
Android File Transfer Agent,801,0.0,0.0075817108154296875
taskgated,802,0.0,0.014019012451171875
TextInputSwitcher,804,0.0,0.013208389282226562
com.apple.CoreSimulator.CoreSimulatorService,808,0.0,0.015974044799804688
com.apple.WebKit.WebContent,809,0.0,3.1681060791015625
webinspectord,811,0.0,0.01220703125
simdiskimaged,817,0.0,0.0017642974853515625
com.apple.appkit.xpc.openAndSavePanelService,818,0.0,0.0518798828125
QuickLookUIService,819,0.0,0.022554397583007812
reversetemplated,824,0.0,0.06561279296875
SimulatorTrampoline,828,0.0,0.008392333984375
photoanalysisd,830,0.0,0.09827613830566406
SoftwareUpdateNotificationManager,832,0.0,0.0186920166015625
CrashReporterSupportHelper,847,0.0,0.002288818359375
maild,848,0.0,0.0232696533203125
weatherd,850,0.0,0.017833709716796875
financed,857,0.0,0.018930435180664062
adprivacyd,859,0.0,0.06108283996582031
fairplayd,861,0.0,0.015592575073242188
zoom.us,976,0.0,0.4245281219482422
online-authd,977,0.0,0.0058650970458984375
assistant_service,983,0.0,0.09412765502929688
peopled,984,0.0,0.03781318664550781
recentsd,985,0.0,0.02117156982421875
caphost,986,0.0,0.03032684326171875
IDSBlastDoorService,990,0.0,0.0061511993408203125
com.apple.WebKit.Networking,998,0.0,0.0064849853515625
com.apple.WebKit.GPU,999,0.0,0.002288818359375
com.apple.WebKit.WebContent,1000,0.0,0.04096031188964844
com.apple.WebKit.WebContent,1001,0.0,0.4257678985595703
com.apple.WebKit.WebContent,1002,0.0,0.037479400634765625
com.apple.WebKit.WebContent,1003,0.0,0.03867149353027344
AppleSpell,1006,0.0,1.2714385986328125
keyboardservicesd,1009,0.0,0.024700164794921875
SiriNCService,1050,0.0,0.03795623779296875
CoreSpotlightService,1056,0.0,0.11420249938964844
Google Chrome Helper (Renderer),1071,0.0,1.1021614074707031
remotemanagementd,1076,0.0,0.0025272369384765625
devicecheckd,1077,0.0,0.006008148193359375
distnoted,1079,0.0,0.0031948089599609375
storeaccountd,1089,0.0,0.023603439331054688
com.apple.WebKit.WebContent,1102,0.0,4.942846298217773
com.apple.WebKit.WebContent,1106,0.0,0.21829605102539062
GroupSessionService,1158,0.0,0.016355514526367188
Google Chrome Helper (Renderer),1185,0.0,0.4837989807128906
Google Chrome Helper,1187,0.0,0.04363059997558594
trustd,1226,0.0,0.013875961303710938
mdbulkimport,1227,0.0,0.022935867309570312
mdworker,1228,0.0,0.019359588623046875
nsattributedstringagent,1343,0.0,0.07371902465820312
installerdiagd,1352,0.0,4.76837158203125e-05
memoryanalyticsd,1384,0.0,0.007152557373046875
EscrowSecurityAlert,1417,0.0,0.030660629272460938
appstoreagent,1420,0.0,0.10004043579101562
promotedcontentd,1423,0.0,0.024747848510742188
mapspushd,1564,0.0,0.04420280456542969
ASPCarryLog,1565,0.0,0.008630752563476562
backgroundassets.user,1567,0.0,0.01068115234375
CategoriesService,1570,0.0,0.031137466430664062
proactiveeventtrackerd,1583,0.0,0.020742416381835938
mediaanalysisd,1587,0.0,0.01735687255859375
localizationswitcherd,1588,0.0,0.010442733764648438
nbagent,1589,0.0,0.020313262939453125
periodic-wrapper,1592,0.0,0.001430511474609375
tipsd,1594,0.0,0.0545501708984375
RemoteManagementAgent,1718,0.0,0.0024318695068359375
AccountSubscriber,1722,0.0,0.00286102294921875
microstackshot,1736,0.0,0.0066280364990234375
tzd,1737,0.0,0.011205673217773438
mlruntimed,1762,0.0,0.019931793212890625
deleted_helper,1765,0.0,0.00743865966796875
cloudd,1767,0.0,0.015783309936523438
storedownloadd,1768,0.0,0.008249282836914062
system_installd,1769,0.0,0.008249282836914062
geodMachServiceBridge,1770,0.0,0.012302398681640625
mbuseragent,1805,0.0,0.0023365020751953125
appleaccountd,1806,0.0,0.008344650268554688
